s_id,s_lat,s_long,numOfTrip
NW Pettygrove at 15th,45.53290424,-122.68626,995
NW Raleigh at 21st,45.53409115,-122.69494240000002,1413
NW Station at Irving,45.5282777,-122.67662820000001,797
NW Thurman at 24th,45.53550403,-122.7006608,696
SE 14th at Stark,45.51844688,-122.65168500000001,598
SE 28th at Pine - Community Corral,45.520593100000006,-122.63723799999998,109
SE 29th and Gladstone - Community Corral,45.493341,-122.63576200000001,54
SE 29th at Belmont,45.51623176,-122.6360679,193
SE 29th at Hawthorne,45.51202353,-122.6363119,478
SE 29th at Stark,45.51936283,-122.63599280000001,199
SE 2nd Pl at Tilikum Way,45.50624163,-122.6633379,1084
SE 30th at Division,45.50468892,-122.6345551,552
SE 34th at Division,45.5048393,-122.62963059999998,565
SE 34th at Hawthorne,45.511907,-122.6294804,630
SE 37th at Division - Community Corral,45.504732000000004,-122.62528,117
SE 37th at Gladstone - Community Corral,45.493337,-122.623397,36
SE 40th at Hawthorne,45.51186486,-122.6210475,336
SE 47th at Hawthorne- Community Corral,45.51195,-122.61416000000001,60
SE 49th at Division - Community Corral,45.505236,-122.61211000000002,68
SE 50th at Division - Community Corral,45.505285,-122.61088500000001,75
SE 50th at Hawthorne- Community Corral,45.511891999999996,-122.611306,68
SE 7th at Burnside,45.52269855,-122.6587513,157
SE 9th at Belmont,45.51633325,-122.6566324,685
SE 9th at Burnside,45.522793,-122.65661599999999,498
SE 9th at Madison,45.512997,-122.656726,42
SE Alder at 6th,45.5178988,-122.66005220000001,498
SE Belmont at 20th,45.51636144,-122.64604569999999,376
SE Belmont at 33rd,45.51649676,-122.6307517,420
SE Belmont at 42nd,45.51645917,-122.6189983,214
SE Belmont at 45th - Community Corral,45.516585,-122.61603799999999,50
SE Clay at Water,45.51147657,-122.6662856,914
SE Clinton at 21st,45.5033655,-122.6447314,607
SE Clinton at 26th,45.50356665,-122.6395279,454
SE Elliott at Division,45.50512504,-122.65336809999998,594
SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,508
SE Hawthorne at 20th,45.51222277,-122.6454261,546
SE Ladd at Hawthorne,45.5120818,-122.6533493,1038
SE Powell Blvd at 29th Ave - Community Corral,45.49723,-122.635405,1
SE Taylor at Chavez Community Corral,45.51502139,-122.62244220000001,22
SE Water at Taylor,45.51515295,-122.665776,767
SW 10th at Columbia,45.51544427,-122.6846749,694
SW 10th at Harvey Milk ,45.521754,-122.681079,553
SW 10th at Stark,45.52175423,-122.6810794,392
SW 12th at Clay,45.51507401,-122.68702979999999,608
SW 18th at Jefferson,45.51816567,-122.6924908,761
SW 2nd at Pine,45.52142066,-122.6726291,1009
SW 3rd at Ankeny,45.52247868,-122.67329690000001,1207
SW 3rd at Morrison,45.51803882,-122.6755822,868
SW 4th at College,45.50936198,-122.68121210000001,1007
SW 4th at Jefferson (City Hall),45.51505334,-122.67889469999999,190
SW 5th at Main,45.51609691,-122.6790771,473
SW 5th at Morrison,45.51889487,-122.6774061,1185
SW 5th at Oak,45.5211726,-122.67636540000001,940
SW Broadway at Smith Memorial Student Union,45.51184309,-122.68372,1310
SW Harrison at 1st,45.50971347,-122.6777159,507
SW Harvey Milk at Burnside,45.522793,-122.68401200000001,514
SW Market at Keller Fountain Park,45.5123205,-122.6789108,590
SW Moody at Aerial Tram Terminal,45.49913657,-122.6716433,2017
SW Moody at Thomas,45.49429475,-122.6719048,805
SW Morrison at 18th,45.52196048,-122.6896772,1395
SW Morrison at Pioneer Courthouse Sq.,45.51928859,-122.6792488,965
SW Naito at Ankeny Plaza,45.52269573,-122.6703492,1370
SW Naito at Morrison,45.51782551,-122.6724963,1351
SW Park at Portland Art Museum,45.51592353,-122.6833123,973
SW Park at SW Wright (Oregon Holocaust Memorial) Community Corral,45.52181825,-122.70440790000002,275
SW Park at W Burnside - Community Corral,45.52276526,-122.6789939,238
SW River at Montgomery,45.50910258,-122.6735169,1559
SW Salmon at Broadway (NABSA)  - Pop Up,45.523486,-122.675078,65
SW Salmon at Waterfront Park,45.51556831,-122.67389240000001,2362
SW Stark at Burnside,45.52279251,-122.6840124,370
SW Taylor at 5th Ave (NABSA) - Pop Up,45.51747167,-122.6786467,156
SW Yamhill at Director Park,45.51898132,-122.6812685,894
Tilikum West at SW Moody,45.5027677,-122.6714408,1272
Urban Center Plaza at SW 6th St,45.51158277,-122.682281,669
